ano,filiados,mes,sigla
2010,380,12,PTB
2010,1239,12,PSDB
2010,20,9,PPL
2010,477,9,DEM
2010,56,9,PMN
2010,669,9,PP
2010,45,9,PSTU
2010,797,9,PV
2010,172,9,PSDC
2010,1473,9,PMDB
2010,23,9,PRTB
2010,8,9,PSD
2010,243,9,PPS
2010,335,9,PRB
2010,81,9,PHS
2010,291,9,PSOL
2010,561,9,PSB
2010,7,9,PCB
2010,441,9,PR
2010,47,9,PSL
2010,99,9,PT DO B
2010,27,9,PTC
2010,442,9,PC DO B
2010,469,9,PSC
2010,235,9,PRP
2010,667,9,PDT
2010,197,9,PTN
2010,2019,9,PT
2010,684,9,PTB
2010,2492,9,PSDB
1994,1,5,PCO
1994,727,5,DEM
1994,303,5,PMN
1994,53,5,PSTU
1994,62,5,PV
1994,1092,5,PMDB
1994,416,5,PPS
1994,1,5,PHS
1994,1,5,PSOL
1994,251,5,PSB
1994,580,5,PCB
1994,643,5,PR
1994,3,5,PSL
1994,48,5,PT DO B
1994,175,5,PTC
1994,628,5,PC DO B
1994,128,5,PSC
1994,433,5,PRP
1994,892,5,PDT
1994,2033,5,PP
1994,1203,5,PT
1994,1903,5,PTB
1994,1551,5,PSDB
1994,39,11,PSB
1994,13,11,PV
1994,5,11,PCB
1994,70,11,PMN
1994,43,11,PT DO B
1994,135,11,PR
1994,2,11,PSTU
1994,496,11,PMDB
1994,179,11,PSC
1994,3,11,PTC
1994,373,11,PC DO B
1994,1,11,PTN
1994,22,11,PRTB
1994,604,11,PSDB
1994,214,11,PDT
1994,1633,11,PP
1994,616,11,PT
1994,310,11,PRP
1994,39,11,PPS
1994,779,11,PTB
1994,199,11,DEM
